ExperimentName,Subject,Handedness,Session,Age,Clock.Information,DataFile.Basename,Display.RefreshRate,ExperimentVersion,FirstLanguage,Group,Occupation,RandomSeed,RuntimeCapabilities,RuntimeVersion,RuntimeVersionExpected,SessionDate,SessionStartDateTimeUtc,SessionTime,Sex,StudioVersion,Block,BlockList,BlockList.Cycle,BlockList.Sample,Procedure[Block],Running[Block],Trial,CrossLangDiff,Expression,Form_Form_Chinese,Form_Form_English,Form_Form_Spanish,HumanORComputer,MetaphorID,Novelty_Chinese,Novelty_European,PostBlockList,PostBlockList.Cycle,PostBlockList.Sample,PracList,PracList.Cycle,PracList.Sample,Procedure[Trial],Q1.OnsetTime,Q1.RESP,Q1.RT,Q1.RTTime,Q2.RESP,Q2.RT,Q2.RTTime,Q3.RESP,Q3.RT,Q3.RTTime,Q4.RESP,Q4.RT,Q4.RTTime,Running[Trial],Stimuli,TextInput.RESP,TrialList,TrialList.Cycle,TrialList.Sample
Tweet_Rating_English_Right,111,1,1,31-45,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2015-05-26T09:04:17Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3312890</Frequency><Timestamp dt:dt=""r8"">15121508198</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2015-05-26T09:04:17Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",Tweet_Rating_English_Right-41-1,59.821,1.0.0.325,English,1,Postgraduate student,-2057731985,Professional,2.0.10.353,2.0.10.353,05-26-2015,26/05/2015 09:04,10:04:17,male,2.0.10.248,4,4,1,4,BlockProc,BlockList,11,0,,2,1,2,c,26,3,3,,,,,,,TrialProc,397688,Yes,5287,402975,2,1556,404543,3,4032,408591,computer,3443,412047,TrialList,Business is a tasty wine. ,,26,1,11
Tweet_Rating_English_Right,111,1,1,31-45,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2015-05-26T09:04:17Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3312890</Frequency><Timestamp dt:dt=""r8"">15121508198</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2015-05-26T09:04:17Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",Tweet_Rating_English_Right-41-1,59.821,1.0.0.325,English,1,Postgraduate student,-2057731985,Professional,2.0.10.353,2.0.10.353,05-26-2015,26/05/2015 09:04,10:04:17,male,2.0.10.248,4,4,1,4,BlockProc,BlockList,12,0,,1,2,2,c,16,2,2,,,,,,,TrialProc,416678,Yes,2185,418863,2,2633,421518,4,2039,423582,computer,2383,425982,TrialList,Power is a warming light.,,16,1,12
Tweet_Rating_English_Right,111,1,1,31-45,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2015-05-26T09:04:17Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3312890</Frequency><Timestamp dt:dt=""r8"">15121508198</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2015-05-26T09:04:17Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",Tweet_Rating_English_Right-41-1,59.821,1.0.0.325,English,1,Postgraduate student,-2057731985,Professional,2.0.10.353,2.0.10.353,05-26-2015,26/05/2015 09:04,10:04:17,male,2.0.10.248,4,4,1,4,BlockProc,BlockList,13,0,,1,2,3,h,56,2,2,,,,,,,TrialProc,430904,Yes,5006,435910,1,2998,438934,4,3198,442142,human,2420,444574,TrialList,Discipline is a strong fertilizer.,,56,1,13
Tweet_Rating_English_Right,111,1,1,31-45,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2015-05-26T09:04:17Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3312890</Frequency><Timestamp dt:dt=""r8"">15121508198</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2015-05-26T09:04:17Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",Tweet_Rating_English_Right-41-1,59.821,1.0.0.325,English,1,Postgraduate student,-2057731985,Professional,2.0.10.353,2.0.10.353,05-26-2015,26/05/2015 09:04,10:04:17,male,2.0.10.248,4,4,1,4,BlockProc,BlockList,14,0,,2,1,2,c,27,1,1,,,,,,,TrialProc,449208,Yes,3709,452917,2,2629,455565,3,5020,460597,computer,2652,463261,TrialList,Art is beautiful love. ,,27,1,14
Tweet_Rating_English_Right,111,1,1,31-45,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2015-05-26T09:04:17Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3312890</Frequency><Timestamp dt:dt=""r8"">15121508198</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2015-05-26T09:04:17Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",Tweet_Rating_English_Right-41-1,59.821,1.0.0.325,English,1,Postgraduate student,-2057731985,Professional,2.0.10.353,2.0.10.353,05-26-2015,26/05/2015 09:04,10:04:17,male,2.0.10.248,4,4,1,4,BlockProc,BlockList,15,1,,2,1,2,c,49,3,1,,,,,,,TrialProc,468081,No,3988,472069,,0,0,1,3239,475332,computer,1347,476700,TrialList,Blood is an appealing wine. ,,49,1,15
Tweet_Rating_English_Right,111,1,1,31-45,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2015-05-26T09:04:17Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3312890</Frequency><Timestamp dt:dt=""r8"">15121508198</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2015-05-26T09:04:17Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",Tweet_Rating_English_Right-41-1,59.821,1.0.0.325,English,1,Postgraduate student,-2057731985,Professional,2.0.10.353,2.0.10.353,05-26-2015,26/05/2015 09:04,10:04:17,male,2.0.10.248,4,4,1,4,BlockProc,BlockList,16,1,,2,3,2,c,23,3,2,,,,,,,TrialProc,481555,Yes,1993,483548,3,2395,485956,5,2300,488268,human,2873,491164,TrialList,Truth is soothing music.,,23,1,16
Tweet_Rating_English_Right,111,1,1,31-45,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2015-05-26T09:04:17Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3312890</Frequency><Timestamp dt:dt=""r8"">15121508198</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2015-05-26T09:04:17Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",Tweet_Rating_English_Right-41-1,59.821,1.0.0.325,English,1,Postgraduate student,-2057731985,Professional,2.0.10.353,2.0.10.353,05-26-2015,26/05/2015 09:04,10:04:17,male,2.0.10.248,4,4,1,4,BlockProc,BlockList,17,1,,2,2,2,c,34,2,1,,,,,,,TrialProc,495830,Yes,3277,499107,3,1423,500547,5,2722,503283,computer,1636,504939,TrialList,Destiny is a lovely heaven. ,,34,1,17
Tweet_Rating_English_Right,111,1,1,31-45,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2015-05-26T09:04:17Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3312890</Frequency><Timestamp dt:dt=""r8"">15121508198</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2015-05-26T09:04:17Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",Tweet_Rating_English_Right-41-1,59.821,1.0.0.325,English,1,Postgraduate student,-2057731985,Professional,2.0.10.353,2.0.10.353,05-26-2015,26/05/2015 09:04,10:04:17,male,2.0.10.248,4,4,1,4,BlockProc,BlockList,18,0,,1,1,2,c,10,2,2,,,,,,,TrialProc,509187,Yes,2440,511627,3,1543,513187,4,1836,515051,computer,2804,517875,TrialList,Security is a warming light.,,10,1,18
Tweet_Rating_English_Right,111,1,1,31-45,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2015-05-26T09:04:17Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3312890</Frequency><Timestamp dt:dt=""r8"">15121508198</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2015-05-26T09:04:17Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",Tweet_Rating_English_Right-41-1,59.821,1.0.0.325,English,1,Postgraduate student,-2057731985,Professional,2.0.10.353,2.0.10.353,05-26-2015,26/05/2015 09:04,10:04:17,male,2.0.10.248,4,4,1,4,BlockProc,BlockList,19,0,,2,3,1,c,29,3,3,,,,,,,TrialProc,522543,No,3587,526130,,0,0,1,3160,529314,computer,1768,531098,TrialList,Business is relaxing music.,,29,1,19
Tweet_Rating_English_Right,111,1,1,31-45,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2015-05-26T09:04:17Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3312890</Frequency><Timestamp dt:dt=""r8"">15121508198</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2015-05-26T09:04:17Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",Tweet_Rating_English_Right-41-1,59.821,1.0.0.325,English,1,Postgraduate student,-2057731985,Professional,2.0.10.353,2.0.10.353,05-26-2015,26/05/2015 09:04,10:04:17,male,2.0.10.248,4,4,1,4,BlockProc,BlockList,20,0,,1,1,2,c,32,2,2,,,,,,,TrialProc,535565,No,3989,539554,,0,0,2,3913,543490,computer,1488,544994,TrialList,Technology is a warming light. ,,32,1,20
Tweet_Rating_English_Right,111,1,1,31-45,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2015-05-26T09:04:17Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3312890</Frequency><Timestamp dt:dt=""r8"">15121508198</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2015-05-26T09:04:17Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",Tweet_Rating_English_Right-41-1,59.821,1.0.0.325,English,1,Postgraduate student,-2057731985,Professional,2.0.10.353,2.0.10.353,05-26-2015,26/05/2015 09:04,10:04:17,male,2.0.10.248,4,4,1,4,BlockProc,BlockList,21,0,,1,3,2,c,3,3,3,,,,,,,TrialProc,549691,No,2926,552617,,0,0,3,3768,556401,computer,1398,557825,TrialList,Business is pure water.,,3,1,21
Tweet_Rating_English_Right,111,1,1,31-45,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2015-05-26T09:04:17Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3312890</Frequency><Timestamp dt:dt=""r8"">15121508198</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2015-05-26T09:04:17Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",Tweet_Rating_English_Right-41-1,59.821,1.0.0.325,English,1,Postgraduate student,-2057731985,Professional,2.0.10.353,2.0.10.353,05-26-2015,26/05/2015 09:04,10:04:17,male,2.0.10.248,4,4,1,4,BlockProc,BlockList,22,0,,1,1,2,c,47,1,1,,,,,,,TrialProc,563231,Yes,2802,566033,3,2105,568161,5,1678,569857,human,2822,572689,TrialList,Learning is a rewarding investment. ,,47,1,22
Tweet_Rating_English_Right,111,1,1,31-45,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2015-05-26T09:04:17Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3312890</Frequency><Timestamp dt:dt=""r8"">15121508198</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2015-05-26T09:04:17Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",Tweet_Rating_English_Right-41-1,59.821,1.0.0.325,English,1,Postgraduate student,-2057731985,Professional,2.0.10.353,2.0.10.353,05-26-2015,26/05/2015 09:04,10:04:17,male,2.0.10.248,4,4,1,4,BlockProc,BlockList,23,1,,2,2,2,h,55,3,2,,,,,,,TrialProc,577239,Yes,5569,582808,1,2345,585168,4,3612,588792,human,5305,594112,TrialList,Sleep is a vast ocean.,,55,1,23
Tweet_Rating_English_Right,111,1,1,31-45,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2015-05-26T09:04:17Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3312890</Frequency><Timestamp dt:dt=""r8"">15121508198</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2015-05-26T09:04:17Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",Tweet_Rating_English_Right-41-1,59.821,1.0.0.325,English,1,Postgraduate student,-2057731985,Professional,2.0.10.353,2.0.10.353,05-26-2015,26/05/2015 09:04,10:04:17,male,2.0.10.248,4,4,1,4,BlockProc,BlockList,24,0,,1,1,2,c,30,2,2,,,,,,,TrialProc,598386,Yes,3022,601408,2,1660,603088,4,1499,604615,computer,2418,607055,TrialList,Music is a warming light.,,30,1,24
