Word Context_Valence Context_Arousal Context_Concreteness
abhorrently 5.307 4.281 2.697
abhorring 5.397 4.217 2.937
abhors 5.534 4.269 2.81
abide 5.582 4.018 2.757
abided 5.482 3.99 2.761
abides 5.797 4.151 2.849
abiding 5.346 4.095 2.81
abidingly 5.523 4.233 2.705
abigail 5.904 3.26 3.225
abilities 5.818 4.171 2.697
ability 5.659 4.081 2.824
abject 5.04 4.276 2.714
abjuration 5.686 4.248 2.805
abjure 5.264 4.32 2.676
abjured 5.441 4.184 2.798
ablation 5.266 4.09 3.168
ablaze 5.369 4.086 3.484
able 5.545 4.059 2.912
abler 5.729 4.08 2.851
ablest 5.716 3.99 2.951
ablution 5.755 4.062 3.328
ablutions 5.771 3.914 3.142
ably 5.595 4.077 2.898
abnormal 5.382 4.08 2.881
abnormalities 5.205 4.049 2.961
abnormality 5.361 4.117 2.869
abnormally 5.377 4.09 3.048
abo 5.579 4.075 3.151
aboard 5.536 4.042 3.456
abode 5.754 4.159 2.897
abodes 5.806 3.995 2.868
abolish 5.384 4.133 2.829
abolishable 4.634 4.19 2.382
abolished 5.22 4.119 2.828
abolisher 5.846 3.867 2.929
abolishes 5.217 4.251 2.832
abolishing 5.271 4.195 2.798
abolishment 5.359 4.11 2.832
abolition 5.343 4.14 2.865
abolitionism 5.439 4.142 2.712
abolitionist 5.38 4.185 2.918
abolitionists 5.3 4.217 2.763
abominable 5.333 4.265 2.842
abominableness 5.434 4.474 2.863
abominably 5.322 4.184 2.774
abominate 5.171 4.175 2.863
abomination 5.481 4.054 3.116
abominations 5.431 4.175 2.936
aboriginal 5.612 4.073 3.075
aboriginals 5.411 4.137 2.881
aborigine 5.564 4.15 3.053
aborigines 5.512 4.087 2.932
aborning 5.456 4.302 2.821
abort 5.517 4.168 2.948
aborted 5.456 4.253 3.058
aborting 5.489 4.233 2.925
abortion 5.376 4.248 2.855
abortionist 5.268 4.352 3.042
abortionists 5.155 4.373 2.799
abortions 5.43 4.238 2.834
abortive 5.411 4.166 2.965
abortively 5.43 4.369 2.9
aborts 5.459 4.164 2.988
abound 5.535 4.115 2.871
abounded 5.488 4.345 2.677
abounding 5.674 4.168 2.799
abounds 5.448 4.216 2.81
aboveboard 5.648 4.018 2.773
aboveground 5.568 3.993 3.535
abovementioned 5.588 3.967 2.945
abracadabra 5.696 4.151 3.014
abrade 5.409 3.914 3.345
abraded 5.384 3.89 3.333
abraham 5.786 4.089 2.982
abrasion 5.281 3.976 3.372
abrasions 5.119 4.124 3.375
abrasive 5.463 4.043 2.979
abrasively 5.599 4.106 2.828
abrasiveness 5.367 4.099 2.74
abrasives 5.542 3.931 3.257
abreaction 5.327 4.138 2.773
abreast 5.737 3.932 2.837
abridge 5.706 3.962 2.68
abridged 5.596 3.93 2.978
abridgement 5.745 4.025 2.816
abridging 5.837 4.236 2.878
abridgment 5.682 4.012 2.818
abroad 5.043 4.437 3.2
abrogate 5.477 4.064 2.707
abrogated 5.453 4.055 2.714
abrogating 5.499 4.078 2.701
abrupt 5.407 4.086 2.92
abruption 4.945 4.38 3.142
abruptly 5.537 4.08 3.407
abruptness 5.561 4.089 2.784
abscess 4.645 4.092 3.797
abscessed 4.94 4.123 3.666
abscesses 4.835 4.136 3.452
abscissa 5.531 3.865 2.989
abscond 5.478 4.214 2.991
absconded 5.469 4.177 3.163
absconder 5.257 4.332 2.998
absconders 5.19 4.199 3.052
absconding 5.117 4.219 3.308
absconds 5.492 4.242 3.19
absence 5.586 4.272 2.83
absences 5.479 4.04 2.9
absent 5.534 4.085 2.842
absented 5.514 4.16 2.78
absentee 5.449 4 3.059
absenteeism 5.292 4.136 2.924
absentees 5.436 3.992 2.944
absenting 5.549 4.086 2.86
absently 5.804 3.922 3.406
absentminded 5.479 4.026 3.026
absentmindedly 5.514 3.914 3.357
absentmindedness 5.348 4.142 2.651
absentness 6.093 4.186 2.909
absents 5.583 3.94 2.884
absinth 5.543 4.151 3.336
absinthe 5.616 4.029 3.168
absinthes 5.688 3.972 2.962
absolute 5.57 4.113 2.737
absolutely 5.584 4.082 2.902
absoluteness 5.535 4.109 2.485
absolutes 6.021 4.194 2.105
absolution 5.46 4.168 2.769
absolutions 5.629 3.996 2.841
absolutism 5.555 4.085 2.539
absolutist 5.512 4.088 2.614
absolvable 5.383 4.143 2.281
absolve 5.199 4.238 2.704
absolved 5.354 4.374 2.752
absolver 5.119 4.331 2.8
absolves 5.229 4.233 2.739
absolving 5.132 4.257 2.743
absorb 5.619 4.076 2.98
absorbability 5.575 3.856 3.182
absorbable 5.495 3.887 3.166
absorbed 5.589 4.079 3.001
absorbency 5.483 3.88 3.196
absorbent 5.563 3.83 3.419
absorber 5.513 4.077 3.18
absorbers 5.41 4.141 3.245
absorbing 5.594 4.077 3
absorbingly 5.906 4.063 3.137
absorbs 5.596 4.12 3.158
absorption 5.466 4.028 3.062
absorptions 5.588 4.012 2.89
absorptive 5.604 3.961 3.09
absorptiveness 5.678 4.415 2.436
abstain 5.601 4.236 2.966
abstained 5.518 4.106 2.967
abstainer 5.442 4.235 2.947
abstaining 5.591 4.267 2.872
abstains 5.653 4.148 2.924
abstention 5.472 4.102 2.862
abstentions 5.486 4.075 2.994
abstinence 5.606 4.212 2.855
abstinent 5.588 4.173 2.799
abstinently 5.921 4.056 2.516
abstract 5.694 3.929 2.825
abstracted 5.644 3.894 2.756
abstractedly 5.721 3.955 2.779
abstractedness 5.563 4.156 2.645
abstracting 5.66 3.902 2.741
abstraction 5.696 3.878 2.738
abstractionism 5.843 4.068 2.755
abstractionist 5.692 4.052 2.656
abstractionists 5.775 3.966 2.849
abstractions 5.726 3.928 2.671
abstractive 5.77 3.947 2.349
abstractly 5.792 3.961 2.662
abstractness 5.613 3.959 2.583
abstractors 5.604 3.66 3.069
abstracts 5.53 3.878 3.083
abstruse 5.773 4.086 2.56
absurd 5.501 4.103 2.732
absurdist 5.764 4.196 2.767
absurdities 5.553 4.014 2.448
absurdity 5.421 4.187 2.854
absurdly 5.429 4.084 2.817
absurdness 5.699 4.275 2.797
abundance 5.826 4.118 2.877
abundant 5.808 4.127 2.946
abundantly 5.808 3.914 2.831
abuse 5.329 4.269 3.177
abused 4.838 4.347 3.015
abuser 5.28 4.504 3.282
abusers 5.25 4.446 3.043
abuses 5.124 4.295 2.97
abusing 5.154 4.35 3.12
abusive 5.351 4.21 2.849
abusively 5.395 4.153 2.805
abusiveness 5.314 4.182 2.694
abut 5.645 3.999 2.935
abutment 5.399 4.023 3.52
abutments 5.456 3.923 3.286
abuts 5.595 3.834 3.5
abutting 5.555 3.839 3.34
abuzz 5.612 4.122 3.188
abysm 5.337 3.911 2.832
abysmal 5.534 4.002 3.176
abysmally 5.116 4.134 2.718
abyss 5.348 4.129 3.197
abyssal 5.38 4.147 3.063
abysses 5.29 4.225 3.027
ac 5.595 4.009 3.147
acacia 5.748 3.838 3.483
academe 5.576 4.108 2.833
academes 5.546 4.18 2.922
academia 5.547 4.029 2.831
academic 5.708 4.044 2.874
academically 5.777 4.115 2.786
academician 5.701 4.012 3.01
academicism 5.675 4.04 2.635
academics 5.343 4.204 3.27
academies 5.709 4.061 3.023
academy 5.71 4.195 3.314
acadia 5.79 3.946 3.349
acanthus 5.811 3.988 3.718
acapulco 5.817 4.23 3.467
accede 5.427 4.147 2.736
acceded 5.426 4.107 2.875
accedes 5.493 4.147 2.956
accelerando 5.888 4.018 2.941
accelerant 5.355 4.191 3.256
accelerate 5.566 4.121 2.96
accelerated 5.535 4.079 3.035
accelerates 5.484 4.119 3.058
accelerating 5.553 4.09 2.997
acceleration 5.542 4.092 2.933
accelerations 5.575 4.037 2.861
accelerative 5.67 4.527 2.984
accelerator 5.641 4.21 3.323
accelerators 5.685 4.162 3.02
accelerometer 5.594 3.97 3.109
accelerometers 5.616 3.942 2.986
accent 5.766 3.992 2.974
accented 5.762 3.935 3.124
accenting 5.654 4.044 3.127
accents 5.72 4.037 2.971
accentual 5.617 3.753 2.83
accentually 6.05 3.645 3.413
accentuate 5.842 3.991 2.857
accentuated 5.332 4.104 3.299
accentuates 5.522 4.11 2.945
accentuating 5.617 4.117 2.928
accentuation 5.397 3.982 2.762
accept 5.594 4.066 2.718
acceptability 5.553 4.059 2.753
acceptable 5.566 4.013 2.768
acceptableness 5.709 4.027 2.429
acceptably 5.677 4.007 2.834
acceptance 5.581 4.066 2.796
acceptances 5.516 4.07 2.812
acceptant 5.563 4.188 2.709
accepted 5.614 4.021 2.783
accepting 5.563 4.093 2.8
acceptor 5.4 3.914 3.255
accepts 5.598 4.055 2.874
access 5.719 4.012 2.981
accessed 5.665 3.852 3.069
accesses 5.581 3.908 2.938
accessibility 5.723 3.947 2.904
accessible 5.701 3.918 2.971
accessibly 5.85 3.968 2.834
accessing 5.597 3.923 2.982
accession 5.616 4.024 2.956
accessions 5.555 4.027 3.076
accessories 5.756 4.023 3.627
accessorize 5.807 4.009 3.255
accessorized 5.825 4.08 3.436
accessorizing 5.774 4.039 3.231
accessors 5.671 3.867 2.832
accessory 5.19 4.227 3.363
accident 5.353 4.18 3.12
accidental 5.192 4.292 2.939
accidentally 5.438 4.153 3.082
accidentals 5.722 3.782 2.946
accidently 5.444 4.134 3.133
accidents 5.172 4.261 3.17
acclaim 5.654 4.373 2.476
acclaimed 5.851 4.13 3.124
acclaimer 5.7 3.586 3.123
acclaims 5.842 4.081 2.998
acclamation 5.699 4.139 2.92
acclimate 5.808 3.993 3.021
acclimated 5.775 4.051 2.92
acclimates 5.653 4.024 3.069
acclimating 5.755 4.092 3.15
acclimation 5.655 4.032 2.912
acclimatization 5.79 4.033 2.886
acclimatize 5.736 4.039 2.909
acclimatized 5.742 4.015 2.841
accolade 5.879 4.142 2.891
accolades 5.925 4.126 2.891
accommodate 5.637 4.022 2.908
accommodated 5.603 4.034 2.823
accommodates 5.551 4.042 2.889
accommodating 5.607 4.052 2.833
accommodatingly 5.611 4.23 3.033
accommodation 5.743 4.099 2.973
accommodations 5.993 4.054 2.827
accommodative 5.435 4.005 2.771
accommodator 5.667 4.249 2.914
accompanied 5.546 4.14 3.144
accompanier 5.644 3.821 3.052
accompanies 5.235 4.092 3.081
accompaniment 6.044 4.108 3.211
accompaniments 6.011 4.001 3.111
accompanist 6.075 4.094 3.146
accompanists 6.022 4.029 2.982
accompany 5.63 4.087 3.012
accompanying 5.552 4.067 3.119
accomplice 5.007 4.352 3.076
accomplices 5.088 4.261 2.961
accomplish 5.706 4.071 2.702
accomplishable 5.75 4.106 2.629
accomplished 5.695 4.139 2.832
accomplisher 5.945 4.136 2.723
accomplishes 5.632 4.072 2.785
accomplishing 5.642 4.127 2.702
accomplishment 5.817 4.102 2.74
accomplishments 5.82 4.056 2.832
accord 5.643 3.876 2.933
accordance 5.48 3.932 2.884
accordantly 5.92 4.146 2.764
accorded 5.688 4.074 2.763
according 5.503 4.039 3.038
accordingly 5.573 4.05 2.841
accordion 5.926 4.011 3.154
accordionist 6.036 4.052 3.205
accordions 5.837 3.93 2.941
accords 5.543 4.042 2.816
accost 5.518 4.122 3.099
accosted 5.504 4.022 3.319
accosting 5.426 4.189 3.05
accosts 5.655 3.994 3.494
account 5.787 4.119 2.923
accountability 5.311 4.162 2.812
accountable 4.994 4.514 2.857
accountableness 5.414 4.396 2.553
accountably 5.526 4.047 2.717
accountancy 5.615 3.989 3.037
accountant 5.363 3.866 3.154
accountants 5.481 4.058 2.94
accounted 5.868 3.769 2.745
accounting 5.472 4.073 3.11
accounts 5.61 4.063 2.97
accoutrement 5.74 4.048 2.971
accoutrements 5.649 4.083 3.077
accredit 5.738 4.023 2.848
accreditation 5.655 3.991 2.931
accredited 5.884 4.089 3.334
accrete 5.646 3.974 2.891
accretes 5.699 4.088 3.132
accrual 5.431 4.023 2.887
accrue 5.65 4.083 2.775
accrued 5.626 4.145 2.869
accruement 5.327 4.311 2.877
accrues 5.605 4.126 2.835
accruing 5.594 4.115 2.837
acculturated 5.672 4.025 2.746
acculturation 5.62 4.069 2.732
accumulate 5.566 4.047 2.932
accumulated 5.512 4.082 2.979
accumulates 5.288 4.025 3.897
accumulating 5.556 4.095 2.955
accumulation 5.498 4.074 2.929
accumulations 5.612 3.944 3.135
accumulative 5.496 4.036 2.852
accumulatively 5.754 4.077 2.684
accumulator 5.551 3.87 3.067
accuracy 5.67 3.846 2.852
accurate 5.664 3.926 2.759
accurately 5.607 3.964 2.824
accurateness 5.752 3.79 2.735
accursed 5.381 4.083 2.849
accurst 5.507 4.193 3.083
accusable 5.99 3.936 2.629
accusation 5.274 4.111 2.734
accusations 5.175 4.172 2.768
accusative 5.483 3.843 2.716
accusatively 5.765 3.834 3.132
accusatorial 5.503 4.037 3
accusatory 5.373 4.082 2.79
accuse 4.861 4.119 2.929
accused 4.554 4.55 3.093
accuser 4.681 4.425 3.345
accusers 5.18 4.278 2.84
accuses 4.652 4.72 2.989
accusing 5.169 4.221 2.898
accusingly 5.402 4.158 3.33
accustom 5.783 4.001 2.944
accustomed 5.646 4.06 2.872
ace 5.704 4.094 3.209
aced 5.705 4.086 3.213
acerb 5.608 3.827 2.9
acerbic 5.646 4.119 2.857
acerbity 5.675 4.153 2.637
aces 5.668 4.079 3.105
acetaminophen 5.381 4.096 3.199
acetate 5.472 3.923 3.386
acetates 5.63 3.984 3.075
acetic 5.077 4.192 3.484
acetone 5.313 3.959 3.583
acetyl 5.229 3.959 3.12
acetylcholine 5.425 4.116 2.853
acetylene 5.375 4.077 3.348
acetylsalicylic 4.948 4.091 3.462
ache 5.532 4.067 3.111
ached 5.479 4.198 3.325
aches 5.478 4.056 3.064
achievable 5.761 4.084 2.682
achieve 5.754 4.134 2.733
achieved 5.708 4.118 2.767
achievement 5.866 4.169 2.843
achievements 5.83 4.126 2.813
achiever 6 4.42 2.667
achievers 5.791 4.198 2.855
achieves 5.679 4.103 2.823
achieving 5.774 4.144 2.732
achilles 5.338 4.163 3.344
achiness 4.828 4.111 3.023
aching 5.47 4.19 3.278
achingly 5.736 4.184 2.996
achy 5.227 4.186 3.194
acid 5.211 4.129 3.231
acidic 5.61 3.949 3.166
acidification 5.834 3.996 3.209
acidify 5.609 3.899 3.211
acidity 5.731 3.98 3.182
acidly 5.468 4.091 2.99
acidophilus 5.469 4.019 3.231
acidosis 4.887 4.209 3.044
acids 5.256 3.962 3.077
acidulous 5.522 4.09 2.905
acing 5.691 4.086 3.038
acknowledge 5.489 4.11 2.731
acknowledgeable 5.777 3.969 2.706
acknowledged 5.463 4.097 2.899
acknowledgement 5.644 4.026 2.775
acknowledgements 5.834 3.815 2.903
acknowledges 5.517 4.103 2.877
acknowledging 5.53 4.102 2.756
acknowledgment 5.606 4.049 2.772
acknowledgments 5.752 3.841 3.012
acme 5.42 3.998 3.274
acne 5.311 4.076 3.486
acnes 4.983 3.8 3.317
acolyte 5.513 4.03 2.953
acolytes 5.46 4.123 2.914
aconitum 5.36 4.125 3.192
acorn 5.472 4.028 3.19
acorns 5.916 3.8 3.612
acoustic 6.177 4.377 3.321
acoustical 5.585 3.986 3.053
acoustically 5.857 3.986 3.053
acoustics 5.792 3.977 3.045
acquaint 5.788 4.053 2.75
acquaintance 5.714 4.031 2.924
acquaintances 5.789 4.025 2.933
acquaintanceship 5.743 4.001 2.73
acquainted 5.774 4.004 2.804
acquiesce 5.396 4.181 2.714
acquiesced 5.334 4.135 2.865
acquiescence 5.321 4.134 2.736
acquiescent 5.373 4.156 2.834
acquiescently 5.381 3.739 3.256
acquiescing 5.281 4.218 2.759
acquirable 5.551 4.058 2.673
acquire 5.728 4.182 2.852
acquired 5.664 4.084 2.972
acquirement 5.701 4.197 2.997
acquirer 5.659 4.045 2.814
acquires 5.642 4.108 2.961
acquiring 5.607 4.192 2.877
acquisition 5.617 4.056 2.984
acquisitions 5.653 4.019 2.975
acquisitive 5.392 4.328 2.709
acquisitively 5.005 4.093 3.118
acquisitiveness 5.439 4.279 2.599
acquit 5.25 4.202 2.87
acquittal 5.094 4.25 2.877
acquittals 5.157 4.192 2.938
acquitted 4.909 4.308 3.093
acquitter 6.076 4.354 2.961
acquitting 5.037 4.281 2.915
acre 5.725 3.857 3.337
acreage 5.733 3.899 3.19
acres 5.791 3.881 3.362
acrid 5.266 4.188 3.4
acrimonious 5.358 4.156 2.88
acrimoniously 5.049 4.136 2.952
acrimony 5.427 4.079 2.778
acrobat 5.81 4.05 3.568
acrobatic 5.812 4.286 3.208
acrobatically 5.459 4.102 3.403
acrobatics 5.777 4.263 3.101
acrobats 5.93 4.242 3.255
acronym 5.669 3.983 2.994
acronyms 5.605 3.866 2.809
acrophobia 5.585 4.283 2.995
acropolis 5.757 4.031 3.308
across 5.562 4.01 3.152
acrostic 5.936 4.018 2.986
acrylic 5.701 3.836 3.777
acrylics 5.739 3.885 3.24
act 5.416 4.187 2.874
acted 5.502 4.118 2.809
acting 5.588 4.083 2.839
actinic 5.611 3.911 3.427
action 5.346 4.173 2.871
actionable 5.453 4.124 2.724
actions 5.362 4.21 2.764
activate 5.584 3.989 3.053
activated 5.535 3.99 3.095
activates 5.393 4.196 3.112
activating 5.558 4.028 2.985
activation 5.564 3.963 2.978
activator 5.554 3.931 3.157
active 5.48 4.032 3.165
actively 5.511 4.122 2.866
activeness 5.805 4.068 2.722
actives 5.698 4.038 2.903
activism 5.481 4.132 2.835
activist 5.396 4.388 3.191
activists 5.099 4.296 3.157
activities 5.546 4.041 2.923
activity 5.537 4.12 2.918
actor 5.816 4.159 3.081
actors 5.781 4.134 3.013
actress 5.933 4.282 3.196
actresses 5.895 4.516 3.341
acts 5.456 4.256 2.856
actual 5.482 4.093 2.895
actualities 5.679 4.079 2.672
actuality 5.619 4.06 2.718
actualization 5.872 4.118 2.698
actualize 5.956 4.083 2.674
actualized 5.864 4.115 2.67
actually 5.642 4.064 2.883
actuarial 5.688 3.915 2.991
actuaries 5.606 3.977 2.839
actuary 5.541 3.744 3.015
actuation 5.525 4.026 3.055
actuator 5.438 3.886 3.39
actuators 5.449 3.892 3.226
acuity 5.812 3.865 2.891
acumen 5.785 4.143 2.742
acupressure 5.357 4.137 3.273
acupuncture 5.445 4.042 3.054
acupuncturist 5.706 3.967 3.149
acupuncturists 5.607 3.983 2.936
acute 5.154 4.166 2.954
acutely 6.146 3.856 2.958
acuteness 5.838 4.18 2.554
acyclovir 5.007 4.204 3.23
ad 5.346 3.58 2.942
ada 5.608 3.876 2.907
adage 5.399 4.11 2.859
adages 5.628 4.019 2.795
adagio 5.848 3.951 3.201
adam 5.733 4.194 2.963
adamant 5.517 4.109 2.861
adamantine 5.539 4.262 3.046
adamantly 5.334 4.167 2.856
adapt 5.736 4.086 2.784
adaptability 5.907 4.153 2.692
adaptable 5.955 4.134 2.787
adaptation 5.73 4.085 2.913
adaptations 5.764 4.012 2.949
adapted 5.751 4.009 3.068
adapter 5.665 3.906 3.266
adapters 5.652 3.875 3.171
adapting 5.692 4.082 2.859
adaption 5.69 4.022 2.833
adaptive 5.677 4.049 2.817
adaptively 5.602 3.98 2.753
adaptor 5.637 3.89 3.273
adaptors 5.654 3.901 3.152
adapts 5.632 4.054 2.887
add 5.672 3.947 3.088
added 5.622 4.023 2.999
addenda 5.448 3.749 2.94
addendum 5.58 3.952 2.981
addendums 5.423 3.678 3.01
adder 5.546 3.976 3.182
adders 5.415 4.093 3.073
addict 5.195 4.348 3.093
addicted 5.348 4.274 3.009
addictedness 5.679 4.051 2.591
addicting 5.601 4.79 3.458
addiction 5.263 4.297 2.998
addictions 5.228 4.339 3.039
addictive 5.309 4.267 2.974
addictiveness 5.297 4.192 2.946
addicts 5.177 4.317 3.054
adding 5.61 4.014 2.992
addition 5.578 4.047 2.979
additional 5.822 3.899 3.018
additionally 5.578 4.018 2.964
additions 5.693 3.916 2.958
additive 5.564 3.981 3.019
additively 5.626 3.928 2.906
additives 5.653 4.03 3.259
addle 5.504 4.085 2.884
addled 5.265 4.18 3.073
addling 5.761 4.077 3.077
address 5.662 3.904 3.161
addressable 5.621 3.854 2.913
addressbook 5.776 3.769 3.143
addressed 5.5 3.986 2.884
addressee 5.729 3.914 2.998
addressees 5.668 3.808 2.979
addresser 5.681 3.866 3.004
addresses 5.689 3.886 3.125
addressing 5.479 4.035 2.841
addressor 5.623 3.834 3.206
adds 5.601 4.037 2.969
adduce 5.592 4.005 2.715
adduced 5.405 4.01 2.757
adductor 5.476 4.075 3.414
adele 5.831 4.134 3.212
adenoidal 5.477 4.046 3.174
adenoma 5.086 4.104 3.101
adenosine 5.501 4.058 3.086
adept 5.63 4.084 2.819
adeptly 5.652 4.04 2.843
adeptness 5.684 4.131 2.711
adepts 5.764 4.071 2.713
adequacy 5.443 4.037 2.791
adequate 5.572 3.91 2.924
adequately 5.452 4.062 2.783
adequateness 5.76 4.041 2.596
adhere 5.487 3.936 2.74
adhered 5.521 3.965 2.785
adherence 5.451 3.987 2.684
adherent 5.539 4.074 2.715
adherently 6.071 4.201 2.828
adherents 5.517 4.13 2.668
adheres 5.616 3.844 2.647
adhering 5.35 3.845 2.841
adhesion 5.41 3.983 3.073
adhesions 4.956 4.146 3.066
adhesive 5.502 3.803 3.481
adhesively 5.45 3.708 3.301
adhesiveness 5.41 4.097 3.024
adhesives 5.553 3.863 3.235
adiabatic 5.52 3.985 2.991
adieu 5.739 4.015 2.928
adios 5.715 4.15 3.024
adipose 5.154 3.789 3.377
adiposity 5.296 4.07 2.869
adirondack 6.001 3.86 3.657
adirondacks 5.875 3.946 3.448
adjacent 5.524 3.878 3.279
adjacently 5.554 3.826 3.007
adjectival 5.548 3.831 2.746
adjectivally 5.619 3.797 2.642
adjective 5.539 3.88 2.714
adjectives 5.661 3.892 2.767
adjoin 5.643 3.829 3.02
adjoined 5.637 3.81 3.347
adjoining 5.603 3.88 3.405
adjoins 5.635 3.814 3.584
adjourn 5.48 3.951 3.056
adjourned 5.252 3.991 3.178
adjourning 5.451 3.99 3.212
adjournment 5.373 3.984 2.965
adjourns 5.194 3.906 3.226
adjudge 5.351 4.065 2.761
adjudged 5.165 4.228 2.823
adjudging 5.474 4.182 2.642
adjudicate 5.324 4.087 2.759
adjudicated 5.143 4.087 2.785
adjudicating 5.339 4.055 2.793
adjudication 5.295 3.972 2.824
adjudicator 5.495 4.034 2.904
adjunct 5.7 3.976 3.265
adjuncts 5.655 4.005 2.964
adjuration 5.58 4.047 2.737
adjure 5.754 4.253 2.941
adjured 5.33 4.116 2.953
adjust 5.648 3.958 2.987
adjustability 5.693 3.894 3.007
adjustable 5.754 3.793 3.433
adjustably 5.715 3.956 3.041
adjusted 5.521 4.03 2.951
adjuster 5.463 3.868 3.123
adjusters 5.464 3.947 3.154
adjusting 5.608 4.012 3.008
adjustment 5.553 3.969 2.971
adjustments 5.643 3.935 2.9
adjustor 5.418 3.904 3.107
adjusts 5.554 3.979 3.055
adjutant 5.476 3.95 3.103
adjutants 5.57 3.927 2.926
adjuvant 5.251 4.177 3.068
adlai 5.49 4.032 2.736
adman 5.605 4.058 2.824
admass 5.427 4.228 2.714
admen 5.389 4.069 3.097
admin 5.368 3.616 3.097
administer 5.5 4.033 2.938
administered 5.41 4.206 3.075
administering 5.527 4.017 2.941
administers 5.375 4.134 3.034
administrable 5.686 3.888 2.921
administrate 5.637 3.934 2.978
administrates 5.641 3.944 3.072
administration 5.249 4.064 3.056
administrational 5.458 3.872 2.77
administrations 5.365 4.039 2.907
administrative 5.566 3.922 3.085
administratively 5.37 4.019 2.816
administrator 5.649 3.779 3.377
administrators 5.533 3.965 3.031
admirable 5.768 4.092 2.709
admirably 5.665 4.114 2.874
admiral 5.553 4.046 3.262
admirals 5.598 3.994 3.143
admiralship 5.457 3.952 2.228
admiralty 5.369 3.968 3.079
admiration 5.878 4.176 2.748
admire 5.799 4.123 2.806
admired 5.779 4.183 2.913
admirer 5.747 4.113 2.881
admirers 5.659 4.109 2.907
admires 5.656 4.115 2.878
admiring 5.75 4.085 3.05
admiringly 5.533 4.036 3.207
admissibility 5.25 4.014 2.825
admissible 5.272 4.109 2.762
admissibly 5.519 3.867 2.172
admission 5.496 4.054 2.956
admissions 5.147 4.308 3.006
admissive 5.371 3.952 2.439
admit 5.446 4.165 2.716
admits 4.778 4.281 3.339
admittance 5.53 4.047 2.946
admittances 5.422 3.877 2.971
admitted 5.309 4.182 2.981
admittedly 5.598 4.027 2.79
admitter 5.03 3.958 3.121
admitting 5.56 4.156 2.657
admixed 5.56 3.931 2.879
admixture 5.58 3.961 2.8
admonish 5.485 4.12 2.81
admonished 5.51 4.038 2.965
admonishing 5.588 4.046 2.953
admonishingly 5.2 4.091 3.193
admonishment 5.518 4.038 2.841
admonishments 5.389 4.013 2.782
admonition 5.489 4.124 2.895
admonitions 5.718 4.071 2.74
ado 5.627 3.69 3.093
adobe 5.864 4.168 3.446
adolescence 5.6 4.155 2.879
adolescences 5.114 4.252 2.918
adolescent 5.539 3.94 3.542
adolescently 5.229 3.895 2.709
adolescents 5.546 4.25 2.996
adolf 5.527 4.2 2.981
adonis 5.758 4.126 3.116
adopt 5.673 4.081 2.834
adoptability 5.627 3.92 2.995
adoptable 5.685 4.222 3.016
adopted 5.621 4.057 2.955
adoptee 5.878 4.091 2.948
adopter 5.756 4.078 2.839
adopting 5.607 4.073 2.832
adoption 5.922 4.176 3.189
adoptions 5.964 4.197 3.282
